Links,Techstack
https://www.yourproductpartners.com/profile/017d58a0-ebd6-432e-aa81-0241c04ecf59,"Java,Spring Boot,Hibernate,Microservices,Angular"
https://www.yourproductpartners.com/profile/0196c3b9-17f5-412c-9df6-8e6fc5efa448,"Node.js,React.js,AWS,PostgreSQL,Azure,Rest API,NGINX,TS"
https://www.yourproductpartners.com/profile/03c8b4ef-824f-4a89-ad3f-6cae621d60ff," AR, Invision, PyCharm, Zeplin,.NET,3rd Party Integrations,ABAP,AI,API Integrations,ASP.NET,AWS,Adobe Illustration,Adobe Photoshop,Adobe XD,Agile,Android,Android Native,Angular,Angular JS,Angular Material,Animations,Apex Data Loader,Appium,Arduino,Asp.NET,Asp.NET using C#,Azure,BLE 5.0,Blazor,Blockchain,Bubble,C#,C++,Cloud Native,Content Stack,Core Java,Data Mining,Django,Docker,Dynamo DB,ERP Software Development,ESP 32,Eclipse,Embedded C,Embedded C/C++,Ether.js,Eureka,Express.js,FLA,Fast API,Figma,Firebase,Flask,Flutter,GCP,GPT 4,GRPC,Git,GoLang,Google Kubernete Engine,GraphQL,HTML,HTML/CSS,Hibernate,IOC-DI,Infosphere,JQuery,JS,Java,JavaScript (ES6+),Jenkins,Kafka,Kotlin,Kubernetes,LINQ,Laravel,ML,MQTT,Manual,Material UI,Microservices,Microsoft Azure,Microsoft Dynamics 365,MongoDB,Ms SQL,MySQL,NGINX,NLP,Next.js,No Code/Low Code,Node.js,Oculus Rift,Oculus VR Plugin,Odoo,Oracle,PHP,POS,PSD,PostgreSQL,PowerBI,PyTorch,Python,React Native,React.js,Redux,Rest API,Rest Web Service,Rollout,Ruby,S4 HANA,SAP,SAP/ABAP Implementation,SDK,SQL,SQLite,Salesforce,Selenium,Semantic UI,Sharepoint,Shopify,Shopify Liquid,Shopify Plus,Sketch,Socket.io,Solidity,Solution Architect,Spring Boot,Strip,Stripe & Paypal Integration,Symfony,TS,Tailwind,Testlink,Tibco Administartor,Tibco Hawk,Toradex,Tortoise SVN,Troubleshooting Expert,Umbraco CMS 11.x,Unit,Unity 3DGame Engine,VR,Velo,Vue.js,Vuforia,Web APIs,Web3,WebSockets,Webflow,Wix,Wordpress,XML,XR Toolkit,iOS,iOT"
https://www.yourproductpartners.com/profile/03f6b122-ac35-4d57-8be4-294cafd9c9e5,"Java,OOP,Hibernate,Spring Boot,GWT"
https://www.yourproductpartners.com/profile/04cd222a-03a9-4f99-b2f5-6275a4aeb942,"Odoo,MySQL,JS,ERP Software Development"
https://www.yourproductpartners.com/profile/0671c88d-44ff-4cb2-8cd0-c3a8f4bdeb31,"Magento,Laravel,Angular,PHP,MongoDB,JS"
https://www.yourproductpartners.com/profile/06a6b228-d5e8-4934-93fe-febef95d5c22,"AWS,Azure,GCP,Troubleshooting Expert"
https://www.yourproductpartners.com/profile/094e5e78-f0c7-47a0-9cde-8df89542f02d,"Odoo,Python,PostgreSQL,XML,JS, PyCharm"
https://www.yourproductpartners.com/profile/0d365824-122d-4e8d-8a72-c19b56b0218f,"GoLang,React Native,PostgreSQL,Vue.js,TS"
https://www.yourproductpartners.com/profile/1148bea1-2e9f-4faf-82cf-1a3523be9675,"Python,ML,AI,PyTorch,Data Mining,NLP"
https://www.yourproductpartners.com/profile/147d2f00-4aa0-473d-a7e3-e0f4320432f9,"React.js,Vue.js,Material UI,MySQL,Sentry,Amplify"
https://www.yourproductpartners.com/profile/16345420-6441-4bef-9678-910d19d482da,".Net Core,Web API,Azure DevOps,PostgreSQL,LinQ"
https://www.yourproductpartners.com/profile/1e4b8d05-640b-495f-ba19-ed42fee3366d,"SAP,S4 HANA,Oracle,Node.js,ABAP,JS"
https://www.yourproductpartners.com/profile/203f146c-5234-4565-9541-0eecfe83f9c4,"ABAP,SAP,SAP HANA,ODATA,Adobe Forms,ABAP Test Cockpit"
https://www.yourproductpartners.com/profile/27cee908-880b-4a0f-8756-98867473c61a,"Unity 3DGame Engine,C#,Node.js,Laravel,3rd Party Integrations"
https://www.yourproductpartners.com/profile/289f564e-38e5-4541-8764-d5ea0051630c,"React Native,React.js,Flutter,JS,TS,HTML/CSS"
https://www.yourproductpartners.com/profile/2ad32269-2c1c-4a78-a2c9-8395a45c8dad,"Odoo,Python,MVC,MongoDB,Django,React.js,Node.js"
https://www.yourproductpartners.com/profile/2b05300a-8acf-4d43-9fc0-a9c2db9f7c3b,"SAP,ABAP,S/4 HANA,EHP7.5,Revtrack"
https://www.yourproductpartners.com/profile/2b5c7ed8-1829-4416-8fd2-804e591b5f74,"React.js,Node.js,Next.js,TS,Redux"
https://www.yourproductpartners.com/profile/2bae18b5-a419-4409-b3bf-98bd553b5302,"AWS,GCP,Docker,Azure,Google Kubernete Engine"
https://www.yourproductpartners.com/profile/2ec83f42-71e5-4d04-96cb-d2c9c5c92b71,React.js
https://www.yourproductpartners.com/profile/309f1999-203c-4ef5-b0c4-8ceda7ae9369,"Odoo,Python,PostgreSQL,XML,JS"
https://www.yourproductpartners.com/profile/30b684a1-03ba-4278-95d6-66e1961d4d15,"React.js,Node.js,Mongo DB,AWS,GraphQL"
https://www.yourproductpartners.com/profile/326e7792-5cb1-4c25-93af-e48a28acdfaa,"Java,Spring Boot,Hibernate,AWS,Jenkins,Eureka,MySQL"
https://www.yourproductpartners.com/profile/338d1a4c-9dcb-43a8-b7be-6d1ebea7377e,"Python,Tensorflow,CosmosDB,GoLang,AWS"
https://www.yourproductpartners.com/profile/343b9aa6-5231-42b1-87cd-e2bb5a4247e6,"SAP,ABAP,S/4 HANA,Python,R,Power BI"
https://www.yourproductpartners.com/profile/35c50497-37b0-4cd1-8166-94a8aa182321,"Embedded C,Toradex,MQTT,iOT,ESP 32"
https://www.yourproductpartners.com/profile/36e95f9b-7621-493b-a504-355b5e964c0d,"ML,Python,GPT 4,NLP,Fast API"
https://www.yourproductpartners.com/profile/37776b18-bbb0-4817-abee-f916e569a815,"React.js,Next.js,MongoDB,Node.js,Tailwind CSS,Rest API"
https://www.yourproductpartners.com/profile/38fd6bb5-5cdf-411c-bab9-5deb9d92d0e5,"Angular JS,TS,JS,Ms SQL,Angular Material"
https://www.yourproductpartners.com/profile/3a48940c-058d-444c-b121-dcf88716c363,"Selenium,Appium,Core Java,Testlink,Jenkins"
https://www.yourproductpartners.com/profile/413ddb64-d6b5-4166-821d-40e85881eb13,".NET,C#,Azure,React.js,MongoDB,TS"
https://www.yourproductpartners.com/profile/43b44d14-c62f-4bad-9126-adbd9303f96d,"Embedded C/C++,Python,Arduino,ESP 32,BLE 5.0"
https://www.yourproductpartners.com/profile/44c278fb-8291-4d8a-9656-ac63bf6a3eb2,"GCP,Azure,Docker,PostgreSQL,Jenkins,Django"
https://www.yourproductpartners.com/profile/45f2900b-5850-40e4-9bb6-318d7f139548,"Flutter,React Native,Redux,Node.js,PostgreSQL,AWS"
https://www.yourproductpartners.com/profile/4b6286ce-bb04-47d1-a167-81ce3c74e3a1," AR,VR,Core Java,Eclipse,Oculus Rift,Vuforia"
https://www.yourproductpartners.com/profile/4b78006c-6cd9-4f25-a474-599b4388b30e,"Sketch,AI,PSD,FLA,HTML"
https://www.yourproductpartners.com/profile/50f821bc-56c9-4dda-b54c-34d2ac8f2e89,"C#,Ms-SQL,Microsoft Azure,React.js,Node.js,.Net"
https://www.yourproductpartners.com/profile/51132490-fbae-4edd-9fef-66890ae1243e,"Shopify,Woocommerce,JQuery,PHP,MySQL,Wordpress"
https://www.yourproductpartners.com/profile/52bdf961-6cb3-4bd6-9d37-3555e97d6294,"Odoo,Python,PostgreSQL,Docker,Rest Web Service"
https://www.yourproductpartners.com/profile/56d9aa04-b004-4960-8453-28f84f74088a,"ML,PyTorch,AWS,MySQL,Python"
https://www.yourproductpartners.com/profile/5a5134a1-1f08-450a-9a5e-45c9a1e4fb9f,"React.js,Redux,Material UI,JS,HTML/CSS"
https://www.yourproductpartners.com/profile/5b06df0b-a6c0-4d67-a0e5-5b757e4252a4,"Generative AI,Open AI,Node.js,React.js,ML,AWS,MongoDB"
https://www.yourproductpartners.com/profile/5daffce6-f8f5-475c-af53-c9dd445f9975,"Vue.js,React.js,Node.js,PHP,Laravel"
https://www.yourproductpartners.com/profile/5e060397-530e-4a42-88f9-2d57a69b0338,"React.js,Material UI,Agile,Redux,Semantic UI"
https://www.yourproductpartners.com/profile/652de50e-fd08-4b64-80e5-a10780f36e61,"ML,Python,GenAI,LLM,MongoDB,AWS"
https://www.yourproductpartners.com/profile/66481edf-3e64-4b7f-91c2-31afad766c6f,"Java,Spring Boot,MySQL,Microservices,Kubernetes,Rest API"
https://www.yourproductpartners.com/profile/687c78b5-7b1c-4a41-9e65-400dfcef1c1f,"SAP,ABAP,S/4 HANA,FIORI,ODATA"
https://www.yourproductpartners.com/profile/71742795-98bd-4ec3-abf7-2a216a0d7665,"Odoo,XML,Python,PostgreSQL,API Integrations"
https://www.yourproductpartners.com/profile/737b1322-fafc-4c37-af52-65d6c5e5075f,"AWS,GCP,Solution Architect,Cloud Native,Jenkins"
https://www.yourproductpartners.com/profile/7b7d56f7-20eb-4e9d-b506-713f45cf7ce2,"Unity 3DGame Engine,C#,Oculus VR Plugin,XR Toolkit"
https://www.yourproductpartners.com/profile/7f1eaff6-a643-46fb-b6c2-3ef1882a7046,"AWS,Microsoft Azure,Devops,Cloud Computing,Data Center Services"
https://www.yourproductpartners.com/profile/7fc9f50d-bdfa-4858-81e6-27ef4a56e6b8,"React.js,Redux,API Integrations,JS,TS"
https://www.yourproductpartners.com/profile/8946b4e1-1e1d-4c56-85e3-52a9e9e6525e,".NET,Angular JS,JQuery,Ms SQL,C#,AWS,LINQ"
https://www.yourproductpartners.com/profile/8a5d8aa3-13d1-495a-8c85-d2f603dfb6e1,"AWS,Java,Hibernate,DynamoDB,Spring Boot"
https://www.yourproductpartners.com/profile/8c899ed8-9128-4a45-9e8b-cec97e43b807,"Python,Node.js,React.js,No Code/Low Code"
https://www.yourproductpartners.com/profile/8ca5123a-f441-4a52-87df-0b7065cb51a4,"React Native,Redux,Strip,JS,TS,Java"
https://www.yourproductpartners.com/profile/8d7944b6-d5ae-4aac-90c8-b46095c94260,"Node.js,MySQL,Express.js,Postman,AWS"
https://www.yourproductpartners.com/profile/8e07df90-3470-4c45-90fb-ef35a0a477f2,"Angular,TS,Angular Material,Tailwind CSS,PrimeNG,Jasmin & Karma"
https://www.yourproductpartners.com/profile/8f83d86b-d050-40ee-bad0-9fbc6ed85b8a,"React Native,Web3,Socket.io,Firebase,JS"
https://www.yourproductpartners.com/profile/920a0d83-4d44-42f3-8a8b-47c09b276e38,"Node.js,Microservices,AWS,PostgreSQL,Docker"
https://www.yourproductpartners.com/profile/9593049a-4b79-4d5a-ab1a-07dbdaad0413,"GoLang,Django,RPA,Data Mining"
https://www.yourproductpartners.com/profile/97573e4e-27dc-47bd-8cb2-97fffdbf907d,"Python,Node.js,Microservices,AWS,Dynamo DB,Rest API"
https://www.yourproductpartners.com/profile/98d03836-b57d-4cb4-a10d-0f1c1619a39b,"Figma,Adobe Photoshop,Corel Draw,Illustrator"
https://www.yourproductpartners.com/profile/9ded6283-7813-444c-a50a-f813e9e899ed,"Node.js,React.js,AWS,Laravel,Mongo DB,Phantom.js"
https://www.yourproductpartners.com/profile/9eea42ef-6317-4629-9146-c7658cf571c0,C++
https://www.yourproductpartners.com/profile/a2c6e842-5d6f-4b7f-bfa6-6852cd3950a3,"Java,Node.js,React.js,Python,Blockchain,Angular"
https://www.yourproductpartners.com/profile/a2e38926-f663-4682-aedf-8bf8c6d54d12,"Appium,Selenium,Python,Manual,Unit"
https://www.yourproductpartners.com/profile/a7d0d233-cda9-4fac-afb4-c8722ca63ff5,"iOS,Flutter,Java,SQLite,Rest API,SDK"
https://www.yourproductpartners.com/profile/a7e56e03-4c26-4307-a177-09eaf974d1dd,"React.js,Redux,React Native,Next.js,Rest API,TS"
https://www.yourproductpartners.com/profile/ad82e367-d6c2-4bb1-9924-5cad3856bbb4,"Salesforce,JS,Infosphere,Apex Data Loader,Jenkins,Eclipse"
https://www.yourproductpartners.com/profile/afd8448d-13d7-4cb3-a7a5-7dcc4b01596d,".NET,SQL,Azure,C#,Web APIs"
https://www.yourproductpartners.com/profile/b036d64a-d5fc-41e8-8b15-3eb34a5aecc2,"AI,ML,Python,GPT,Fast API,MySQL"
https://www.yourproductpartners.com/profile/b0de11ad-19e9-4461-8e5b-d24a2f807bca,"Vue.js,React.js,TS,Firebase,AWS,Sentry"
https://www.yourproductpartners.com/profile/bccae11f-5762-4527-9d94-a3b6de0d8cd3,"React Native,GraphQL,Redux-saga,TS,Flipper,Supabase"
https://www.yourproductpartners.com/profile/bf02118d-ec86-4738-8149-1e715703ad2a,"React.js,Wix,JS,HTML/CSS,Tailwind CSS,Vercel"
https://www.yourproductpartners.com/profile/bfea2962-9b02-4399-81f0-f61eb5196fec,"Python,PostgreSQL,ML,AI,Docker"
https://www.yourproductpartners.com/profile/c449e066-4a6f-41ad-a17b-2c4be31dc726,"Node.js,PHP,Laravel,Python,MySQL,Docker,AWS"
https://www.yourproductpartners.com/profile/c8f66985-246f-4d32-a00c-ab2f324ee126,"React.js,Webflow,Wix,JS,Animations,HTML/CSS"
https://www.yourproductpartners.com/profile/c9597172-3b5b-4a2d-b017-5597c6b8294f,"GoLang,Kubernetes,Kafka,PostgreSQL,GRPC,Microservices"
https://www.yourproductpartners.com/profile/c9b0dbfa-6ff9-4a17-8295-4210e37a5613,"GoLang,Python,Node.js,MongoDB,Docker,AWS,Kafka"
https://www.yourproductpartners.com/profile/d0f0d436-62d0-4029-b99f-0e17291b3db3,"Wordpress,Shopify,Magento,MySQL,Woocommerce"
https://www.yourproductpartners.com/profile/d292b4f5-38b7-4895-8075-c60a830ff345,"AWS,Angular JS,Docker,JS,TS,Node.js,PostgreSQL"
https://www.yourproductpartners.com/profile/d3d1689f-5167-43eb-8eb2-aacf76e58f74,"Ruby,Node.js,React.js,AWS,Docker"
https://www.yourproductpartners.com/profile/d4f80b29-0332-4923-9495-752da6c6030b,"Magento,PHP,Laravel,MySQL,Apache,JS"
https://www.yourproductpartners.com/profile/d55647fc-fb8f-4a7c-ba07-86cd2dd7028a,"Umbraco CMS 11.x,IOC-DI,Ms SQL,Vue.js,Asp.NET using C#"
https://www.yourproductpartners.com/profile/d8124c02-1942-4ba0-b6a0-9af6f2b57c1e,"Tibco Administartor,Tibco Hawk,Oracle,C++,Java,Tortoise SVN"
https://www.yourproductpartners.com/profile/d8dcebc0-a9f7-4b4c-9b94-927118eb179c,"Python,Odoo,Pycharm,Trello,PostgreSQL"
https://www.yourproductpartners.com/profile/e2777e2d-9c9c-4315-b209-d2d5a0a5513a,"GoLang,Python,Node.js,Gorilla,PostgreSQL,Gin"
https://www.yourproductpartners.com/profile/e2f02bdc-2547-4aaa-ae61-ec1b1b6a4cf7,".NET,Azure,SQL,Blazor,Sharepoint"
https://www.yourproductpartners.com/profile/e9c47bc3-fc69-4dd9-b795-de4bcc14c60c,"Python,Pandas,TensorFlow,AWS,MLOps,MySQL"
https://www.yourproductpartners.com/profile/ea9b8fe5-c62d-4a43-9d05-99c5e133346f,".NET,Angular,MySQL,JS,AWS,C#"
https://www.yourproductpartners.com/profile/ebc13463-3071-43cd-808f-a16189a6f1fc,"PHP,Laravel,CodeIgnitor,MongoDB,React.js,Trello"
https://www.yourproductpartners.com/profile/ef0af5a5-fba1-46f5-9f53-2f89c361d462,"Node.js,React.js,AWS,GoLang,Jenkins,Micro services,TS"
https://www.yourproductpartners.com/profile/f14a21e3-e325-4779-932c-27b0519f8781,"JS,AWS,Wix,Shopify,MySQL,Velo,HTML/CSS"
https://www.yourproductpartners.com/profile/f27954fa-6e0d-49aa-80e3-23f50cb906b0,"Shopify,Shopify Plus,Python,JS,Wordpress,Shopify Liquid"
https://www.yourproductpartners.com/profile/f2a7676f-8531-43ba-af7c-ff8b2f93c2d6,"Figma,Adobe Photoshop,Adobe Illustration,Adobe XD,Sketch, Invision, Zeplin"
https://www.yourproductpartners.com/profile/f685b6c3-f11f-4b77-a0f3-6ff8fcce7d6c,"Laravel,Tailwind,Vue.js,React.js,PHP"
https://www.yourproductpartners.com/profile/f7d43b82-bad4-4cc7-93a2-94d7090b5b6a,"React.js,Angular,Ionic,PostgreSQL,TS"
https://www.yourproductpartners.com/profile/f8ab2866-97c3-4ad7-993c-019ea7e63066,"GoLang,Java,AWS,Kotlin,Docker,MySQL"
https://www.yourproductpartners.com/profile/f93ba6e7-5629-416c-b4c9-77b850de8ea7,"Android,Kotlin,Flutter,Java,Rest API"
https://www.yourproductpartners.com/profile/fb32301c-7e37-44d2-9576-2d4e53392908,"Microsoft Dynamics 365,Asp.NET,SQL,POS,Rollout"